dataset,experiment,representation,clustering_method,seed_count,sample_size,silhouette_mean,calinski_harabasz_mean,davies_bouldin_mean,n_clusters_mean,noise_ratio_mean,embedding_time_s_mean,clustering_time_s_mean,peak_memory_mb_mean,silhouette_std,calinski_harabasz_std,davies_bouldin_std,n_clusters_std,noise_ratio_std,embedding_time_s_std,clustering_time_s_std,peak_memory_mb_std,combo,total_runtime_s_mean,silhouette_score,calinski_harabasz_score,davies_bouldin_score,noise_ratio_score,runtime_score,memory_score,multi_metric_score
scenario-1,optimal,word2vec,kmeans,5,50000,0.6283124685287476,1303.4670314915838,1.3614683960603238,100.0,0.0,6.256,7.8468,77.2634,0.0081193379919951,15.729009918389108,0.0598614038046426,0.0,0.0,5.654703484710758,2.275584034923781,35.67903896968078,word2vec + kmeans,14.1028,0.6981006401179446,0.015535946831615726,0.8080961113361649,1.0,0.9844381431210157,0.9952940279708603,0.7502441448962669
scenario-1,optimal,sbert,agglomerative,5,50000,0.588212537765503,742.8154390123975,1.9036619732806637,100.0,0.0,37.2512,69.3444,266.562,0.0030599082244085,4.330686517079576,0.0445066804952852,0.0,0.0,20.858834727759845,1.9056312077629247,67.09874561420652,sbert + agglomerative,106.59559999999999,0.6577578803033464,0.008465399890809673,0.7169398674884873,1.0,0.7603505051934233,0.1364105756421936,0.5466540380863767
scenario-1,optimal,sbert,gmm,5,50000,0.5816969871520996,651.0780910830879,2.1979229112534893,100.0,0.0,47.0164,8.724,296.627,0.007247991203639,18.278250943181035,0.029200983890968,0.0,0.0,2.9160087105494057,1.2444530927278858,0.2882282081962182,sbert + gmm,55.740399999999994,0.6512028741361706,0.007308472427371993,0.667467275145704,1.0,0.8835603295725674,0.0,0.534923158546969
scenario-1,optimal,sbert,kmeans,5,50000,0.5805429339408874,804.4393088004645,1.7866193860679922,100.0,0.0,47.0164,13.2818,296.627,0.004724387776932,7.349449301574982,0.0531972622129495,0.0,0.0,2.9160087105494057,3.991129251227026,0.2882282081962182,sbert + kmeans,60.298199999999994,0.6500418324429048,0.00924255716612201,0.7366176413847013,1.0,0.8725178847969051,0.0,0.5447366526317722
scenario-1,optimal,doc2vec,dbscan,5,50000,0.5240671157836914,71.56044707332899,0.7676878675910099,4.4,0.035456,37.2034,383.229,76.22619999999999,0.0594122300022625,36.6680616524017,0.0367286754840104,3.361547262794322,0.0025798604613428,33.86751519229009,56.090083900810846,34.7501566859777,doc2vec + dbscan,420.4324,0.5932240194471515,0.0,0.907925406479503,0.8757969369596592,0.0,1.0,0.5628243938143856
scenario-1,optimal,doc2vec,hdbscan,5,50000,0.4417833507061005,208.02474306651453,0.8710840196519289,2.0,0.2487039999999999,37.2034,153.5034,76.22619999999999,0.026022558423624,47.44730992549194,0.0768808778905001,0.0,0.0135621782911153,33.86751519229009,10.2138776329071,34.7501566859777,doc2vec + hdbscan,190.7068,0.5104419769851539,0.0017209925442237819,0.8905419382014449,0.12878501268093134,0.5565694527087399,1.0,0.514676562186749
scenario-1,optimal,sbert,dbscan,5,50000,0.3921428978443145,186.81088015345557,0.7720260951859214,166.0,0.063232,47.0164,222.5962,296.627,0.0208411312487762,16.33547577261506,0.1353182148365947,202.98768435548004,0.0702332436955605,2.9160087105494057,110.41788424526165,0.2882282081962182,sbert + dbscan,269.6126,0.4605009215076586,0.0014534580976357677,0.9071960423757528,0.7784970644695728,0.36539982284796124,0.0,0.4188412182164302
scenario-1,optimal,doc2vec,agglomerative,5,50000,0.3395027314079925,430.4374394723933,1.9791242991820213,45.8,0.0,37.201,84.683,76.234,0.4628906821614346,179.9516580352456,0.7217186995741424,39.98374669787713,0.0,33.87080129698735,2.361638731897833,34.739478745369794,doc2vec + agglomerative,121.88400000000001,0.4075419873967912,0.004525906382451026,0.7042527710893692,1.0,0.723310417276394,0.9999646099288205,0.6399326153456377
scenario-1,optimal,doc2vec,kmeans,5,50000,0.1144741509109735,704.5454553033348,6.16799072354172,2.2,0.0,49.8154,0.636,90.3658,0.0555295366683614,15.945516434854882,0.7313295148381802,0.4472135954999578,0.0,27.798109167711388,0.1681249535315921,29.35263834308596,doc2vec + kmeans,50.4514,0.18115072432926674,0.007982765542011572,0.0,1.0,0.8963742947352508,0.9358459678912237,0.5035589587496254
scenario-1,optimal,doc2vec,gmm,5,50000,-0.0655862003564834,221.55651170742863,3.931672976382373,100.0,0.0,49.8154,10.0778,90.3658,0.0026644434837738,3.9331333837387783,0.1761808269829687,0.0,0.0,27.798109167711388,0.4085635813432224,29.35263834308596,doc2vec + gmm,59.89319999999999,0.0,0.0018916457745920918,0.3759807095577288,1.0,0.8734991016414668,0.9358459678912237,0.5312029041441685
